epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,15005.6,0.76153,0.38897,0.84523,0.92377,0.89356,0.91325,0.60036,1.4319,0.65403,1.11394,5.22683e-05,5.22683e-05,5.22683e-05
42,15362.2,0.7487,0.38273,0.84466,0.92264,0.89439,0.90962,0.59786,1.43985,0.65226,1.12709,4.35288e-05,4.35288e-05,4.35288e-05
43,15728.1,0.73835,0.37783,0.84273,0.92197,0.89621,0.91078,0.59886,1.43754,0.6538,1.12225,3.56141e-05,3.56141e-05,3.56141e-05
44,16084.8,0.73909,0.38005,0.84237,0.92015,0.89373,0.9102,0.59878,1.43859,0.65505,1.12494,2.85553e-05,2.85553e-05,2.85553e-05
45,16434.3,0.72282,0.3707,0.83802,0.92036,0.8876,0.90885,0.59828,1.4403,0.65398,1.1318,2.23803e-05,2.23803e-05,2.23803e-05
46,16781.9,0.72385,0.37116,0.83807,0.92258,0.88876,0.91063,0.60049,1.43795,0.65587,1.1286,1.71135e-05,1.71135e-05,1.71135e-05
47,17125.7,0.72318,0.36938,0.83818,0.92154,0.89008,0.91117,0.60129,1.43492,0.65456,1.12618,1.27757e-05,1.27757e-05,1.27757e-05
48,17471.2,0.71919,0.36789,0.83947,0.92217,0.8924,0.91198,0.60097,1.4336,0.6518,1.12518,9.38391e-06,9.38391e-06,9.38391e-06
49,17816.1,0.71498,0.36837,0.83521,0.9214,0.8934,0.91238,0.60024,1.43799,0.65365,1.12628,6.95161e-06,6.95161e-06,6.95161e-06
50,18161.3,0.71695,0.36657,0.83801,0.9229,0.89173,0.91178,0.59997,1.44068,0.65508,1.12665,5.48838e-06,5.48838e-06,5.48838e-06
