epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,403.003,1.45469,2.26404,1.11135,0.93678,0.91,0.93362,0.51702,1.54493,0.86698,1.12851,0.00332955,0.00332955,0.00332955
2,800.528,1.32909,0.86192,1.06241,0.9221,0.88446,0.91794,0.48796,1.6559,0.82279,1.2246,0.00653095,0.00653095,0.00653095
3,1187.92,1.33184,0.78548,1.0771,0.92576,0.90003,0.91013,0.41072,1.86853,0.89211,1.33116,0.00960036,0.00960036,0.00960036
4,1579.14,1.32219,0.76256,1.089,0.92009,0.87684,0.90168,0.4589,1.82379,0.81469,1.32802,0.009406,0.009406,0.009406
5,1967.78,1.25808,0.69906,1.07852,0.93988,0.88942,0.91513,0.51142,1.61467,0.73802,1.27687,0.009208,0.009208,0.009208
6,2355.1,1.21018,0.65678,1.06332,0.95012,0.88893,0.92672,0.53536,1.48444,0.70878,1.21106,0.00901,0.00901,0.00901
7,2758.06,1.16571,0.62241,1.04628,0.94991,0.88831,0.92677,0.53532,1.5598,0.7256,1.23163,0.008812,0.008812,0.008812
8,3173.35,1.14466,0.60984,1.03503,0.93306,0.90482,0.92604,0.57139,1.39881,0.69405,1.17972,0.008614,0.008614,0.008614
9,3581.38,1.12429,0.59381,1.03039,0.95588,0.87502,0.89783,0.5334,1.58856,0.7602,1.28647,0.008416,0.008416,0.008416
10,3970.59,1.09753,0.572,1.01931,0.93282,0.89803,0.92124,0.56222,1.44658,0.70259,1.21783,0.008218,0.008218,0.008218
11,4359.28,1.08885,0.56551,1.01728,0.95621,0.87844,0.90021,0.53498,1.53872,0.79388,1.21433,0.00802,0.00802,0.00802
12,4748.8,1.0685,0.54792,1.00911,0.93754,0.93183,0.94081,0.58365,1.42967,0.62247,1.20384,0.007822,0.007822,0.007822
13,5145.41,1.0509,0.53903,1.0062,0.9345,0.84837,0.90535,0.54832,1.4943,0.73027,1.23473,0.007624,0.007624,0.007624
14,5554.83,1.03876,0.53463,1.00047,0.94333,0.87949,0.92142,0.56488,1.51376,0.68348,1.27128,0.007426,0.007426,0.007426
15,5947.73,1.0322,0.52155,0.99517,0.95462,0.90035,0.92466,0.55219,1.5428,0.69933,1.24543,0.007228,0.007228,0.007228
16,6343.06,1.0233,0.5192,0.99623,0.95873,0.91326,0.93779,0.59751,1.35655,0.66194,1.16571,0.00703,0.00703,0.00703
17,6736.22,1.00914,0.50698,0.98747,0.9446,0.88628,0.90851,0.57088,1.4437,0.71359,1.23534,0.006832,0.006832,0.006832
18,7131.45,0.99191,0.49793,0.98589,0.95509,0.90564,0.92321,0.56758,1.45927,0.66919,1.22155,0.006634,0.006634,0.006634
19,7526.71,0.98876,0.50258,0.9809,0.94429,0.84489,0.88354,0.5468,1.4835,0.84035,1.25821,0.006436,0.006436,0.006436
20,7934.26,0.98443,0.49696,0.97951,0.94148,0.86277,0.90065,0.56029,1.50921,0.7033,1.28721,0.006238,0.006238,0.006238
21,8354.79,0.96759,0.48477,0.972,0.93427,0.87286,0.91498,0.57776,1.41985,0.71608,1.19527,0.00604,0.00604,0.00604
22,8761.39,0.96417,0.4839,0.97351,0.92674,0.86899,0.91395,0.57017,1.44371,0.68862,1.21759,0.005842,0.005842,0.005842
