epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,9161.02,0.95392,0.47708,0.96809,0.95436,0.87921,0.92661,0.58639,1.4037,0.6583,1.1885,0.005644,0.005644,0.005644
24,9563.59,0.94107,0.47221,0.96447,0.94067,0.87143,0.90298,0.57526,1.4676,0.76315,1.24605,0.005446,0.005446,0.005446
25,9971.37,0.93939,0.47283,0.96306,0.94412,0.89216,0.93403,0.59544,1.39042,0.63453,1.17343,0.005248,0.005248,0.005248
26,10388.2,0.93799,0.46676,0.95871,0.95067,0.86452,0.91917,0.5806,1.42018,0.70868,1.20439,0.00505,0.00505,0.00505
27,10821.5,0.92059,0.45506,0.95719,0.94865,0.8578,0.90239,0.56621,1.43275,0.79492,1.18812,0.004852,0.004852,0.004852
28,11257.8,0.91481,0.45273,0.95547,0.94819,0.85738,0.90214,0.57237,1.46159,0.73493,1.22723,0.004654,0.004654,0.004654
29,11689.8,0.9072,0.44866,0.94734,0.94049,0.85168,0.89846,0.56711,1.4693,0.7871,1.20876,0.004456,0.004456,0.004456
30,12123.9,0.90214,0.45049,0.94577,0.94542,0.86178,0.90351,0.57631,1.42249,0.78136,1.19302,0.004258,0.004258,0.004258
31,12562.1,0.89267,0.44199,0.94216,0.9475,0.87243,0.92603,0.58219,1.42814,0.66232,1.1966,0.00406,0.00406,0.00406
32,12997.7,0.88839,0.43882,0.94315,0.94422,0.87983,0.91164,0.58576,1.45064,0.73955,1.24523,0.003862,0.003862,0.003862
33,13436.4,0.87904,0.43517,0.93876,0.95769,0.86691,0.91778,0.58947,1.42186,0.7333,1.19593,0.003664,0.003664,0.003664
34,13872.2,0.87596,0.43143,0.94248,0.95837,0.86277,0.92293,0.5842,1.466,0.68238,1.21817,0.003466,0.003466,0.003466
35,14314.7,0.86563,0.42566,0.93322,0.93103,0.87999,0.92128,0.58428,1.43921,0.68903,1.20868,0.003268,0.003268,0.003268
36,14755.7,0.85511,0.4208,0.93235,0.93104,0.88497,0.918,0.57356,1.46625,0.68013,1.22702,0.00307,0.00307,0.00307
37,15195.5,0.84458,0.41577,0.92584,0.94129,0.8929,0.92465,0.58948,1.44652,0.66468,1.21314,0.002872,0.002872,0.002872
38,15636.9,0.84292,0.41193,0.92867,0.94204,0.87982,0.91089,0.57618,1.47318,0.72702,1.22427,0.002674,0.002674,0.002674
39,16077.8,0.83319,0.40828,0.92493,0.94271,0.88048,0.91113,0.5753,1.47278,0.72752,1.22431,0.002476,0.002476,0.002476
40,16517.1,0.82543,0.40249,0.91736,0.9461,0.89505,0.9194,0.5841,1.4665,0.68278,1.23719,0.002278,0.002278,0.002278
41,16897.2,0.7646,0.36842,0.90952,0.94487,0.87376,0.90497,0.58331,1.4967,0.74706,1.28235,0.00208,0.00208,0.00208
42,17271.6,0.74816,0.36218,0.90296,0.95075,0.86923,0.89763,0.5849,1.49966,0.8079,1.29998,0.001882,0.001882,0.001882
43,17645.7,0.73494,0.35486,0.89997,0.94687,0.87612,0.90704,0.58447,1.49291,0.75204,1.29358,0.001684,0.001684,0.001684
44,18022.6,0.73291,0.35715,0.89871,0.93881,0.87535,0.90138,0.57673,1.50488,0.73618,1.30784,0.001486,0.001486,0.001486
45,18397.6,0.71861,0.34571,0.89577,0.94018,0.87022,0.89984,0.57626,1.5062,0.75091,1.29866,0.001288,0.001288,0.001288
46,18776.2,0.71025,0.34177,0.89529,0.94216,0.87535,0.90616,0.58128,1.49181,0.74251,1.2813,0.00109,0.00109,0.00109
47,19152.4,0.69514,0.33354,0.88684,0.94602,0.87613,0.90842,0.5881,1.47695,0.7419,1.28239,0.000892,0.000892,0.000892
48,19528.5,0.69061,0.32861,0.88523,0.94489,0.87699,0.90878,0.58534,1.4818,0.74036,1.28225,0.000694,0.000694,0.000694
49,19905,0.67712,0.3235,0.88263,0.9429,0.87932,0.90968,0.57934,1.49475,0.72893,1.29182,0.000496,0.000496,0.000496
50,20284.2,0.67531,0.32038,0.88123,0.9448,0.8812,0.91105,0.57807,1.49593,0.7205,1.2956,0.000298,0.000298,0.000298
